,Season,Competition,Club,Date,Direction,Home_Away,Against,Final_Result,Minute,First_half_Second_half,Score_before_penalty_for_Messi_team,Score_before_penalty_for_opponent,Messi_team_is_winning_losing_tie_before_penalty,Score_after_penalty,Goalkeepers
,07/08,LaLiga LaLiga,FC Barcelona,"Nov 24, 2007",LL,Home,Recreativo Huelva,3:0,81,2nd,2,0,W,3:0,Stefano Sorrentino
,07/08,LaLiga LaLiga,FC Barcelona,"Oct 28, 2007",C,Home,UD Almería,2:0,80,2nd,1,0,W,2:0,David Cobeño
,07/08,LaLiga LaLiga,FC Barcelona,"Sep 22, 2007",LR,Home,Sevilla FC,2:1,79,2nd,1,0,W,2:0,Andrés Palop
,06/07,International Friendlies International Friendlies,Argentina,"Jun 4, 2007",LL,Away,Algeria,3:4,55,2nd,1,2,L,2:2,Samir Hadjaoui
,04/05,U20-Weltmeisterschaft 2005 U20-Weltmeisterschaft 2005,Argentina U20,"Jul 2, 2005",LR,Home,Nigeria U20,2:1,75,2nd,1,1,T,2:1,Ambruse Vanzekin
,04/05,U20-Weltmeisterschaft 2005 U20-Weltmeisterschaft 2005,Argentina U20,"Jul 2, 2005",LL,Home,Nigeria U20,2:1,40,1st,0,0,T,1:0,Ambruse Vanzekin
,18/19,LaLiga LaLiga,FC Barcelona,"Feb 16, 2019",LR,Home,Real Valladolid CF,1:0,85,2nd,1,0,W,1:0,Jordi Masip
,17/18,World Cup 2018 World Cup 2018,Argentina,"Jun 16, 2018",CL,Home,Iceland,1:1,64,2nd,1,1,T,1:1,Hannes Thór Halldórsson
,17/18,Copa del Rey Copa del Rey,FC Barcelona,"Jan 17, 2018",LR,Away,RCD Espanyol Barcelona,1:0,62,2nd,0,0,T,0:0,Diego López
,17/18,LaLiga LaLiga,FC Barcelona,"Dec 17, 2017",UR,Home,Deportivo de La Coruña,4:0,70,2nd,3,0,W,3:0,Rubén Martínez
,17/18,LaLiga LaLiga,FC Barcelona,"Aug 26, 2017",CL,Away,Deportivo Alavés,0:2,39,1st,0,0,T,0:0,Fernando Pacheco
,16/17,LaLiga LaLiga,FC Barcelona,"May 21, 2017",CR,Home,SD Eibar,4:2,70,2nd,1,2,L,1:2,Yoel Rodríguez
,15/16,LaLiga LaLiga,FC Barcelona,"Mar 12, 2016",LR,Home,Getafe CF,6:0,11,1st,1,0,W,1:0,Vicente Guaita
,15/16,LaLiga LaLiga,FC Barcelona,"Feb 14, 2016",passed the ball,Home,Celta de Vigo,6:1,81,2nd,3,1,W,3:1,Sergio Álvarez
,15/16,LaLiga LaLiga,FC Barcelona,"Sep 20, 2015",out of target,Home,Levante UD,4:1,75,2nd,3,1,W,3:1,Rubén Martínez
,15/16,LaLiga LaLiga,FC Barcelona,"Aug 23, 2015",LL,Away,Athletic Bilbao,0:1,31,1st,0,0,T,0:0,Gorka Iraizoz
,14/15,UEFA Champions League UEFA Champions League,FC Barcelona,"Feb 24, 2015",CR,Away,Manchester City,1:2,90,2nd,2,1,W,1:2,Joe Hart
,14/15,Copa del Rey Copa del Rey,FC Barcelona,"Jan 21, 2015",RC,Home,Atlético Madrid,1:0,85,2nd,0,0,T,0:0,Jan Oblak
,14/15,International Friendlies International Friendlies,Argentina,"Oct 11, 2014",LL,Away,Brazil,2:0,40,1st,0,1,L,1:0,Jefferson
,14/15,LaLiga LaLiga,FC Barcelona,"Sep 21, 2014",out of target,Away,Levante UD,0:5,42,1st,1,0,W,0:1,Jesús Fernández
,13/14,LaLiga LaLiga,FC Barcelona,"Apr 5, 2014",CR,Home,Real Betis Balompié,3:1,86,2nd,3,1,W,3:1,Antonio Adán
,13/14,Supercopa Supercopa,FC Barcelona,"Aug 28, 2013",Hit the post,Home,Atlético Madrid,0:0,89,2nd,0,0,T,0:0,Thibaut Courtois
,12/13,International Friendlies International Friendlies,Argentina,"Aug 15, 2012",LR,Away,Germany,1:3,32,1st,0,0,T,0:0,Marc-André ter Stegen
,11/12,UEFA Champions League UEFA Champions League,FC Barcelona,"Apr 24, 2012",hit the post,Home,Chelsea FC,2:2,49,2nd,2,1,W,2:1,Petr Cech
,11/12,Copa del Rey Copa del Rey,FC Barcelona,"Feb 1, 2012",CR,Away,Valencia CF,1:1,57,2nd,1,1,T,1:1,Diego Alves
,11/12,LaLiga LaLiga,FC Barcelona,"Oct 22, 2011",LR,Home,Sevilla FC,0:0,90,2nd,0,0,T,0:0,Javi Varas
,10/11,Copa del Rey Copa del Rey,FC Barcelona,"Jan 19, 2011",out of target,Away,Real Betis Balompié,3:1,53,2nd,1,3,L,3:1,Casto
,10/11,UEFA Champions League UEFA Champions League,FC Barcelona,"Sep 14, 2010",LR,Home,Panathinaikos Athens,5:1,55,2nd,3,1,W,3:1,Alexandros Tzorvas
,08/09,LaLiga LaLiga,FC Barcelona,"Apr 11, 2009",LL,Home,Recreativo Huelva,2:0,81,2nd,2,0,W,2:0,Asier Riesgo
,08/09,Copa del Rey Copa del Rey,FC Barcelona,"Nov 12, 2008",LR,Home,Benidorm CF,1:0,86,2nd,1,0,W,1:0,Juan Carlos Caballero
,07/08,Copa del Rey Copa del Rey,FC Barcelona,"Jan 31, 2008",LL,Home,Villarreal CF,1:0,76,2nd,1,0,W,1:0,Diego López
